"id","request_for_specialist_id","candidate_id","status","next_step_id","due_date","is_main","start_date","deadline_sla_date","result_date","result_comment","rate","is_active","is_staffing","staffing_file_id","is_favorite","interview_date","resume_request_id","assigned_date","status_reason_id","cancel_reject_initiator_id"
161,1120,1763,CANCEL,,,0,,"2022-04-11","2022-04-06 07:43:50","Ответ заказчика:
к сожалению, для Инны (UI/UX Designer) у нас уже нет проектов. Поэтому мы будем рады, если вы сможете их показать на другие проекты.",,1,1,,1,,,"2022-04-04 06:37:10",12,
162,1121,2107,CANCEL,,,0,,"2022-04-11","2022-04-06 08:18:55","ограничение заказчика по локации - РБ и РФ.
Локация Татьяны - РБ",,1,1,,1,,,"2022-04-04 06:38:19",12,
163,1122,2010,REJECT,,,0,,"2022-04-11","2022-03-31 21:00:00","Had a discussion with Wei about the candidate we won't move forward with her.
Our internal process to onboard an employee takes time both from IT security and also in the Analytics product itself. We don't think it's right for us at the moment to invest
time in a candidate that doesn't fit.
Communication skills and English level are highly critical for us please make sure for all future candidates that these skills are must have.",,1,1,220,0,"2022-04-01",,"2022-04-04 06:38:47",12,
164,1123,4674,CANCEL,,,0,,,"2022-04-11 16:13:08",Candidate Piroh Artsiom cancelled because of start on demand 1123,,1,1,145,0,"2022-04-11",,"2022-04-04 06:39:23",12,
165,1124,4930,CANCEL,,,0,,"2022-04-11","2022-04-07 08:06:15","Customer on sick leave till Friday evening 08/04. 
I'll be back with updates asap.",,1,1,,1,,,"2022-04-04 06:40:08",12,
166,1126,680,CANCEL,,,0,,"2022-04-11","2022-04-05 09:31:41","Щайдо прошел собес,но отказался работать по личным причинам",,1,1,,0,,,"2022-04-04 06:40:39",12,
167,1127,4926,CANCEL,,,0,,,"2022-04-11 15:36:06",Заказчик поставил позицию на холд. Договорились вернуться к вопросу через месяц.,,1,1,,0,,,"2022-04-04 06:41:16",12,
168,1128,4946,CANCEL,,,0,,"2022-04-11","2022-04-04 10:07:37","Кандидатка прошла на другой проект, в связи с этим перестаффинг",,1,1,,0,,,"2022-04-04 06:43:10",12,
169,1123,4926,CANCEL,,,0,,,"2022-04-05 09:33:16",Перестаффинг кандидата в рамках нескольких проектов,,1,1,,0,,,"2022-04-04 06:44:19",12,
170,645,4471,TERMINATED,,,0,"2022-04-19",,"2022-04-11 15:19:13",Stop on project from: 2022-06-12,,1,1,139,1,"2022-04-06",,"2022-04-04 06:45:23",,
171,1129,3778,CANCEL,,,0,,"2022-04-18","2022-04-05 13:49:00","По Анне Игнатовой, к сожалению, отказ - недостаточно опыта в финтехе под запросы заказчика.",,1,1,,0,,,"2022-04-04 06:47:24",12,
172,643,3293,CANCEL,,,0,,"2022-04-11","2022-04-04 12:28:49",кандидат не подходит по локации. релокейт только в июне,,1,1,,0,,,"2022-04-04 06:53:03",12,
173,1199,1679,CANCEL,,,0,,,"2022-04-18 12:16:43","Natalia has successfully passed the interview, but the customer suddenly closed the position.",,1,1,185,0,"2022-04-11",,"2022-04-04 06:55:35",12,
174,1200,636,REJECT,,,0,,"2022-03-30","2022-04-04 21:00:00","Паттерны проектирования - что-то знает, но знания слабые
Проектирование БД - забыл основы, проявилась склонность к оверинженирингу""
В целом Дмитрий (наш ТЛ) отметил низкая заинтересованность кандидата, поэтому не будем его брать, так как есть ощущение что Александр не впишется в команду.",,1,1,,0,"2022-03-28",,"2022-04-04 06:56:01",12,
175,1201,4162,ASSIGNED,,,1,"2022-04-19",,"2022-04-07 11:10:55",,,1,1,119,1,"2022-04-04",,"2022-04-04 06:56:31",,
176,1202,3062,CANCEL,,,0,,,"2022-04-25 21:00:00","принято решение отпускать кандидата, сильно затягивается по нему работа с возражениями и решение клиента",,1,1,120,0,"2022-04-14",,"2022-04-04 06:57:11",12,
177,1205,4400,REJECT,,,0,,,"2022-04-24 21:00:00","Во внутренней системе работы с внешними сотрудниками клиент перевел в статус ""кэнселед"" и на данный момент не предоставил никакого фидбека.",,1,1,352,1,,,"2022-04-04 06:58:19",12,
178,1206,2856,CANCEL,,,0,,"2022-04-07","2022-04-06 07:31:05","Клиент закрыл деманд
Клиент закрыл деманд
Клиент закрыл деманд",,1,1,,1,"2022-04-05",,"2022-04-04 06:59:03",12,
179,1207,4440,ASSIGNED,,,1,"2022-05-02",,"2022-04-12 13:02:50",,,1,1,156,1,"2022-04-08",,"2022-04-04 06:59:45",,
180,1209,1931,CANCEL,,,0,,,"2022-04-06 06:26:13","Не достаточно опыта в AWS. 
Компания является посредником и время ответа по кандидату 1-2 недели. 
Прекращаем сотрудничество с компанией.",,1,1,,1,,,"2022-04-04 07:00:24",12,
181,1208,1931,CANCEL,,,0,,,"2022-04-07 11:26:07","Candidate was interviewed and approved by the customer. Waiting for the signed MSA, letter of guarantee was offered. Waiting for the responce.",,1,1,,0,,,"2022-04-04 07:01:17",12,
182,1210,6751,CANCEL,,,0,,"2022-04-18","2022-04-06 14:44:21","Отпускаем Сергея с деманда.
Клиент пересмотрел свои возможности. И пришел к нам с новостью, что их компания всё же готова взять автоматизатора на фуллтайм. И даже дату старта этого спеца прописали: The starting date would be 02.05.2022. Это заапрувлено с CEO.
Нам нужен более сильный автоматизатор, с опытом написания интеграционных тестов и уровнем английского. Ранее мы готовили Клепика Антона к проекту, попробуем допродать его, если он всё еще свободен. Распределите его нам, пожалуйста, под данный деманд.",,1,1,,0,,,"2022-04-04 07:55:11",12,
183,1210,1425,CANCEL,,,0,,"2022-04-18","2022-04-04 12:44:58","Взяли в подготовку второго предложенного кандидата, а Дмитрия отпускаем",,1,1,,0,,,"2022-04-04 07:55:28",12,
184,730,3743,ASSIGNED,,,1,"2022-04-11",,"2022-04-11 07:31:31",,,1,1,116,1,"2022-03-30",,"2022-04-04 08:21:49",,
185,722,3054,ASSIGNED,,,1,,,"2022-04-21 08:22:24",,,1,1,134,1,"2022-03-28",,"2022-04-04 08:26:58",,
186,556,4586,CANCEL,,,0,,,"2022-04-11 15:36:30",Заказчик поставил позицию на холд. Договорились вернуться к вопросу через месяц.,,1,1,,0,,,"2022-04-04 08:45:51",12,
187,1211,1589,REJECT,,,0,,,"2022-04-13 21:00:00","Заказчик закрыл позицию, 
по результатам интервью Михаил уверенный middle.",,1,1,,0,,,"2022-04-04 08:48:07",12,
188,578,4226,ASSIGNED,,,1,,,"2022-04-26 09:42:34",,,1,1,178,1,"2022-04-20",,"2022-04-04 09:12:47",,
189,546,2707,CANCEL,,,0,,"2022-03-28","2022-04-05 07:40:06",кандидат не подходит по стеку и по уровню экспертизы,,1,1,,0,,,,12,
190,547,6077,CANCEL,,,0,,"2022-04-11","2022-04-08 08:39:43",Заказчик приостановил набор на проект и закрыл данную вакансию,,1,1,217,0,,,,12,
191,548,7611,CANCEL,,,0,,,"2022-04-25 21:00:00",Рубанов дмитрий не подходит. Снимаем кандидата..........,,1,1,152,0,,,,12,
192,549,3697,CANCEL,,,0,,"2022-04-01","2022-04-06 12:49:08",Customer decided to close the AQA position at the project.,,1,1,,0,,,,12,
193,550,1318,CANCEL,,,0,,"2022-04-08","2022-04-20 13:22:54","Кандидат успешно вышел на проект, прошел проверку СБ",,1,1,559,0,"2022-04-12",,,12,
194,551,736,CANCEL,,,0,,"2022-04-07","2022-04-06 10:40:56",Джунов не берут на альфа капитал. Снимаем кандидата,,1,1,,0,,,,12,
195,552,1080,REJECT,,,0,,"2022-04-10","2022-04-07 21:00:00","Собеседование провалил, Виктор Челяпин ожидает более опытного кандидата",,1,1,354,0,"2022-04-08",,,12,
196,553,6751,CANCEL,,,0,,"2022-04-14","2022-04-08 09:47:14",Снимаем с проекта слабый кандидат Стоп................,,1,1,,0,,,,12,
197,554,4618,CANCEL,,,0,,,"2022-04-06 16:12:27",Кандидата распредилим на новый деманд на фулл тайм.,,1,1,,0,"2022-03-25",,,12,
198,555,4618,REJECT,,,0,,"2022-03-23","2022-04-04 21:00:00",Не смог объяснить свои решения после лайвкодинга..,,1,1,,0,"2022-03-31",,,12,
199,557,2098,REJECT,,,0,,,"2022-04-20 21:00:00","Please find the feedback for Alex:



He was able to explain about his project and way of working.
Average in Automation testing
Average in Selenium. I have given one problem, He could not do that.
Average in Java/ OOPS concept
Average in Java programming.
Good in explaining API concepts



Overall: Let’s not proceed with him.",,1,1,370,1,,,,12,
200,558,4107,REJECT,,,0,,,"2022-04-25 21:00:00","Кандидата отпускаем. Клиент пока приостановил для нас позицию, т.к. есть внутренний кандидат, окончательное решение примут через недели две. Но чтобы не морозить нашего кандидата - отпускают его. Возможно вернутся к вопросу, если будет свободен Вадим.
По собесу и тз положительный фид.",,1,1,181,0,"2022-04-14",,,12,
201,559,8193,CANCEL,,,0,,"2022-04-01","2022-04-08 05:53:48","Интервью состоялось 04.04.
До сих пор нет фидбека Клиента.
Кандидата передаем дальше.",,1,1,,0,"2022-04-04",,,12,
202,560,2786,CANCEL,,,0,,"2022-03-31","2022-04-07 11:00:34",Деманд закрыт. отвалился...........................,,1,1,,0,,,,12,
203,561,2331,CANCEL,,,0,,,"2022-04-20 14:39:25","Снимаем кандидата, нужен человек с немецким, будем искать с рынка.",,1,1,,0,"2022-03-31",,,12,
204,562,1336,CANCEL,,,0,,"2022-05-04","2022-04-20 10:28:59",Ласова Юлия Пришла с офером будем отпускать.......,,1,1,,0,"2022-03-31",,,12,
205,565,2141,REJECT,,,0,,,"2022-04-06 21:00:00",Пока без причины( Просто отказали. Ждем более развернутый фидбек. Как только пришлю - дополню!,,1,1,293,0,,,,12,
206,566,783,REJECT,,,0,,,"2022-04-24 21:00:00","После того как прошла 2й этап собеса, клиент был не очень доволен. Предложили взять Зинаиду на триал. Долго думали. По итогу все же отзалаи. Причиной стало - неполные ответы на специфический вопросы. Клиент думает что это связано с языковым барьером... Хотя По результатам англ прогона уровень был В1",,1,1,,0,"2022-04-04",,,12,
207,567,2,ASSIGNED,,,1,"2022-04-25",,"2022-04-19 13:58:12",,,1,1,,1,"2022-04-04",,,,
208,568,7719,REJECT,,,0,,,"2022-04-18 21:00:00",Feedback was that his English wasn't the best and he just didn't answer a lot of questions directly or well enough.,,1,1,292,0,"2022-04-19",,,12,
209,569,1958,CANCEL,,,0,,"2022-04-08","2022-04-18 07:51:04","Кафанов Алексей РБ не подходит по локации, релокейт не рассматривает.",,1,1,,0,,,,12,
210,570,896,CANCEL,,,0,,"2022-03-31","2022-04-04 13:51:28",Снимаем кандидата тк как не прошел. Недостаточно коммуникативных навыков.,,1,1,,0,"2022-04-01",,,12,
211,571,1117,CANCEL,,,0,,"2022-03-31","2022-04-07 11:18:48","клиент принимает решение по старту всей команды, ожидаем решение",,1,1,,0,"2022-03-21",,,12,
212,572,4720,CANCEL,,,0,,"2022-03-31","2022-04-07 11:19:07","клиент принимает решение по старту всей команды, ожидаем решение",,1,1,,0,"2022-03-22",,,12,
213,573,3166,CANCEL,,,0,,"2022-03-31","2022-04-07 11:19:12","клиент принимает решение по старту всей команды, ожидаем решение",,1,1,,0,"2022-03-31",,,12,
214,574,7249,CANCEL,,,0,,"2022-04-05","2022-04-05 10:28:32",Кандидат КСР - не удастся перейти к нам в компанию из-за особенностей договора с прошлой компании (ему необходимо отработать там ещё год).,,1,1,161,0,"2022-03-28",,,12,
215,575,1336,CANCEL,,,0,,"2022-04-06","2022-04-20 08:48:42","Ласова Юлия - кандидат пришёл с оффером в другую компанию, поэтому прекращаем процесс стаффинга на этот проект.",,1,1,163,0,"2022-04-04",,,12,
216,576,8045,CANCEL,,,0,,"2022-04-15","2022-04-14 14:51:11","пауза, заказчик долго не смотрит кандидатов на эту позицию",,1,1,128,0,,,,12,
217,577,934,CANCEL,,,0,,"2022-04-04","2022-04-14 14:51:32","пауза, заказчик долго не смотрит кандидатов на эту позицию",,1,1,,0,,,,12,
218,579,4925,CANCEL,,,0,,"2022-04-01","2022-04-07 16:50:48","она в долгой подготовке, а не кандидат номер 1, поэтому не надо занимать позицию акуа сеньора - джуников в длительной подготовке",,1,1,,0,,,,12,
219,581,2448,CANCEL,,,0,,,"2022-04-04 14:23:53",Ждем решение по релокейту............................,,1,1,,0,,,,12,
220,582,2616,TERMINATED,,,0,,,"2022-04-26 09:45:45",Stop on project from: 2022-06-30,,1,1,409,1,,,,,
221,583,283,CANCEL,,,0,,"2022-04-15","2022-04-14 11:54:54",холд........................................................,,1,1,410,0,,,,12,
222,584,8518,CANCEL,,,0,,,"2022-04-04 13:57:48",Снимаем с подготовки. Старт кандидата на Fressnapf.,,1,1,,0,,,,12,
223,585,65,REJECT,,,0,,"2022-04-09","2022-04-10 21:00:00","Отказ от заказчика, подробного фидбека не было, отмена по подготовке.",,1,1,,0,"2022-04-07",,,12,
224,586,3827,TERMINATED,,,0,,,"2022-04-26 09:46:24",Stop on project from: 2022-06-30,,1,1,,1,,,,,
225,587,4385,CANCEL,,,0,,"2022-03-31","2022-04-08 13:15:35",Гуков отпадает...............................................,,1,1,,0,,,,12,
226,588,3536,REJECT,,,0,,"2022-04-10","2022-04-10 21:00:00","Заказчик отказался от кандидата, фидбека полного мы не получили",,1,1,,0,"2022-04-08",,,12,
227,589,3697,CANCEL,,,0,,"2022-04-15","2022-04-14 11:51:29",холд...................................................,,1,1,,1,,,,12,
228,590,1615,TERMINATED,,,0,"2022-04-23",,"2022-04-12 06:41:46",Stop on project from: 2022-06-30,,1,1,,1,"2022-03-31",,,,
229,591,320,CANCEL,,,0,,,"2022-04-14 11:53:23",холд........................................................,,1,1,405,0,,,,12,
230,593,1314,REJECT,,,0,,"2022-04-15","2022-04-10 21:00:00","Заказчик не дал полного фидбека, от кандидата отказался",,1,1,407,0,"2022-04-08",,,12,
231,595,764,CANCEL,,,0,,"2022-03-28","2022-04-07 13:42:31","- AQA - Крыгин Владимир - заказчик прислал ответ, что будет прорабатывать ещё позицию и требования к ней, неизвестно, когда вернётся, но попросил пока не держать кандидата тут, поэтому деманд пока что закрываем.",,1,1,,0,,,,12,
232,596,4016,TERMINATED,,,0,,,"2022-03-23 00:00:00",Stop on project from: 2022-06-30,,1,1,174,1,,,,,
233,597,370,CANCEL,,,0,,"2022-04-08","2022-04-05 16:16:25",Решил не релокейтиться - переходит в Астон. Для проекта неактуален,,1,1,,0,,,,12,
234,598,4021,TERMINATED,,,0,,,"2022-03-23 00:00:00",Stop on project from: 2022-06-30,,1,1,173,0,,,,,
235,599,2763,TERMINATED,,,0,"2022-04-14",,"2022-04-12 06:32:29",Stop on project from: 2022-07-31,,1,1,,1,"2022-04-07",,,,
236,600,6757,REJECT,,,0,,"2022-04-10","2022-04-07 21:00:00","На проект проходили собеседование 4 кандидата, все +- одинакового уровня, весьма сложный выбор, в итоге заказчик принял решение в пользу другого кандидата.",,1,1,,0,"2022-04-08",,,12,
237,601,7387,REJECT,,,0,,"2022-04-08","2022-04-07 21:00:00","На проект проходили собеседование 4 кандидата, все +- одинакового уровня, весьма сложный выбор, в итоге заказчик принял решение в пользу другого кандидата.",,1,1,,0,"2022-04-08",,,12,
238,602,7715,CANCEL,,,0,,"2022-04-04","2022-04-11 07:23:59",Заказчик закрыл набор кандидатов на данную позицию,,1,1,,0,"2022-04-05",,,12,
239,603,2233,REJECT,,,0,,,"2022-04-10 21:00:00",отказано кандидату ( так как вакансия поставлена на hold на неопределенный срок),,1,1,,0,,,,12,
240,604,7743,CANCEL,,,0,,,"2022-05-15 21:00:00",Кандидат Куцеволов Алексей увольняется из компании.,,1,1,,0,,,,12,
241,605,7784,CANCEL,,,0,,,"2022-04-11 08:33:13",Переносим кандидата на другой идентичный деманд. Банк сократил количество вакансий.,,1,1,,0,,,,12,
242,606,6810,REJECT,,,0,,,"2022-03-31 21:00:00","отказ по cv от заказчика, слишком высокая ставка ...",,1,1,,0,,,,12,
243,607,8487,CANCEL,,,0,"2022-04-20","2022-04-15","2022-04-20 13:46:17",Кандидат прошел собеседование и стартанул на проекте.,,1,1,,1,"2022-04-04",,,12,
244,608,8519,CANCEL,,,0,,"2022-04-05","2022-04-07 14:41:21",Не прошел собес. Отказ.............................,,1,1,,0,,,,12,
245,609,7611,CANCEL,,,0,,,"2022-05-12 21:00:00","Кандидат Рубанов Дмитрий уволен из компании, к сожалению",,1,1,,1,"2022-03-31",,,12,
246,610,7758,CANCEL,,,0,,"2022-04-13","2022-04-12 14:17:16",кандидат не прошел скрининг у заказчика к сожалению,,1,1,,0,"2022-04-11",,,12,
247,611,7644,CANCEL,,,0,,"2022-04-08","2022-04-12 14:18:40",кандидат не прошел скрининг с заказчиком к сожалению,,1,1,,0,"2022-04-06",,,12,
248,612,2875,ASSIGNED,,,1,,,"2022-04-25 18:31:34",,,1,1,,0,"2022-04-05",,,,
249,613,5019,REJECT,,,0,,,"2022-04-24 21:00:00",Нельп Иван не прошел собеседование на проект к сожалению.,,1,1,388,0,"2022-04-14",,,12,
250,614,6714,REJECT,,,0,,,"2022-04-27 21:00:00","Лизавин не прошел собес с заказчиком. 
Фид: ""•Софты: Приятный в общении, простой, отвечал по делу, не юлит. Создает впечатление ответственного. Кандидат отвечал от знаний, а не по заученным ответам.
•Опыт: Автоматизация UI и меньше REST-API по готовым тест-кейсам. Иногда (не более 30% времени) подключался к ручному тестированию - помощь в регрессе, иногда написание/актуализация тест-кейсов, регистрация дефектов, воспроизведение кейса вручную перед автоматизацией.
•Мотивация: хочет 70/30 - 80/20 (авто/ручное). Но готов и 50/50.
•Сильные стороны: Java
•Слабые стороны: ФТ, REST, SOAP.""",,1,1,,0,,,,12,
251,615,6723,CANCEL,,,0,,,"2022-05-23 21:00:00",Заказчик поставил на холд вакансию. Снимаем кандидата Беляева,,1,1,,1,,,,12,
252,616,6701,CANCEL,,,0,,"2022-03-30","2022-04-12 14:24:30",кандидат не прошел собеседование с заказчиком к сожалению,,1,1,389,0,"2022-04-07",,,12,
253,617,6750,CANCEL,,,0,,,"2022-04-27 21:00:00",Лукьяненко Алексей. Сотрудника Увольняют из компании 29.04.,,1,1,,0,,,,12,
254,618,7350,ASSIGNED,,,1,"2022-04-20",,"2022-04-15 15:26:42",,,1,1,,1,"2022-04-04",,,,
255,619,7609,CANCEL,,,0,,,"2022-05-22 21:00:00",Снимаем Нестеренко с подготовки: слабые знания для 6-ой недели подготовки.,,1,1,,0,,,,12,
256,620,7371,REJECT,,,0,,,"2022-04-27 21:00:00","Кандидат не прошел собеседование с заказчиком. 
Фид: ""•Опыт: автоматизация по написанным тест-кейсам. Иногда подключался в помощь к ручному тестированию. Опыта ФТ мало, опыта ИТ нет. Оценка задач только автоматизации. Фреймвор используемый на проекте понимает плохо.
•Софты: может расположить к себе при общении, но может быть болтлив и может уходить в сторону, переживал на собеседовании.
•Мотивация: готов на любое совмещение
•Сильные стороны: на REST ответил хорошо, но чувствовалось, что готовилось.
•Слабые стороны: Java, фреймворк автотестов, SOAP, Cucumber, Page Object.""",,1,1,486,0,"2022-04-21",,,12,
257,621,872,CANCEL,,,0,,,"2022-04-15 09:06:12",СТАРТ на манго телеком Хорватович.................,,1,1,,0,,,,12,
258,622,7629,REJECT,,,0,,,"2022-04-20 21:00:00","Кандидат не прошел собес у заказчика.
""Отказ. Передаю ОС после скрининга от коллег:
•Софты: спокойны, уверенный, но в случаях, когда ловили за неправильным ответом, начинал оправдываться, рассказывать, что в требованиях должно было быть. Может юлить
•Опыт: написание автотестов по уже заготовленным тест-кейсам. Иногда правка и дописывание новых автотестов, регистрация дефектов. Нет опыт ФТ. Нет опыта оценки задач ФТ и рисков.
•Сильные стороны: Java, REST
•Слабые стороны: ФТ, инструменты автоматизации.""",,1,1,560,0,,,,12,
259,623,7619,CANCEL,,,0,,,"2022-04-27 21:00:00",Маршин Глеб сотрудника переносим на пустой деманд.,,1,1,,0,,,,12,
260,624,7624,CANCEL,,,0,,,"2022-04-24 21:00:00",Барьяш Андрей. Переносим на свободный деманд. ..........,,1,1,,0,,,,12,
261,625,7646,CANCEL,,,0,,"2022-04-04","2022-04-12 15:25:11",Переносим в другой открытый деманд на Альфу.......,,1,1,,0,,,,12,
262,626,3400,CANCEL,,,0,,,"2022-04-11 19:37:54",Кондяков не подходит на данную позицию не достаточно знаний,,1,1,,0,,,,12,
263,627,6077,CANCEL,,,0,,"2022-04-04","2022-04-15 14:53:58","Деманд на холде, ждем актуализации по вакансиям из банка",,1,1,,0,,,,12,
264,628,3844,CANCEL,,,0,,,"2022-04-20 21:00:00",Макарова Лидия Переносим на другой деманд.........,,1,1,,0,"2022-04-04",,,12,
265,629,755,ASSIGNED,,,1,"2022-04-15",,"2022-04-15 14:56:29",,,1,1,,1,"2022-04-05",,,,
266,630,812,CANCEL,,,0,,"2022-03-21","2022-04-15 14:58:40","Деманд на холде, ждем актуализации по вакансиям из банка",,1,1,393,0,"2022-04-14",,,12,
267,631,6109,CANCEL,,,0,,"2022-03-25","2022-04-11 19:13:35",Яблоков не прошел собеседование. отказ............,,1,1,,0,"2022-03-24",,,12,
268,632,251,CANCEL,,,0,,,"2022-04-15 15:01:28","Деманд на холде, ждем актуализации по вакансиям из банка",,1,1,,0,,,,12,
269,633,6757,CANCEL,,,0,,"2022-04-22","2022-04-15 15:02:30","Деманд на холде, ждем актуализации по вакансиям из банка",,1,1,,1,,,,12,
270,634,4182,CANCEL,,,0,,,"2022-04-12 06:32:43",Candidate Kurylenka Dzmitry cancelled because of start on demand 634,,1,1,,0,,,,12,
271,635,6704,CANCEL,,,0,,"2022-03-25","2022-04-12 14:41:22",кандидат не прошел собеседование с заказчиком к сожалению,,1,1,,0,"2022-04-06",,,12,
272,636,7378,CANCEL,,,0,,,"2022-05-11 21:00:00","Заказчик не будет рассматривать кандидата, подходящей вакансии пока нет.",,1,1,395,0,,,,12,
273,637,7354,CANCEL,,,0,,,"2022-05-11 21:00:00","Заказчик не будет рассматривать кандидата, подходящей вакансии пока нет.",,1,1,397,0,,,,12,
274,638,7715,CANCEL,,,0,,"2022-03-28","2022-04-11 14:44:08",Прошла на Ингосстрах с 13.04.2022 . Снимаем с подготовки,,1,1,,0,,,,12,
275,639,1078,CANCEL,,,0,,,"2022-05-11 21:00:00",Кандидат Румысов Владислав переносим на другой деманд.,,1,1,,0,,,,12,
276,640,1587,CANCEL,,,0,,,"2022-04-04 13:31:50",Кандидат не доступен. Его не отдают с Тинькофф Банка. Железный список.,,1,1,,0,,,,12,
277,641,7758,CANCEL,,,0,,"2022-04-07","2022-04-06 14:32:26",Цвирирко сняли с подготовки..............................,,1,1,,0,,,,12,
278,644,2680,CANCEL,,,0,"2022-05-03",,"2022-04-26 21:00:00","У Анны возникли сложности со здоровьем, из-за чего выход на проект отложился на неопределенный срок. Заказчик не готов принять такой риск, поэтому отказался от ее кандидатуры.",,1,1,342,1,"2022-04-04",,,12,
279,646,2866,REJECT,,,0,,"2022-04-01","2022-04-04 21:00:00","Пришел с оффером, который не планируем перебивать.",,1,1,,0,,,,12,
280,647,3027,TERMINATED,,,0,"2022-05-02",,"2022-04-12 07:41:17",Stop on project from: 2022-06-30,,1,1,172,1,,,,,
281,648,6075,TERMINATED,,,0,"2022-04-18",,"2022-04-12 07:43:18",Stop on project from: 2022-06-30,,1,1,160,1,,,,,
282,649,2965,CANCEL,,,0,,"2022-04-04","2022-04-05 09:14:44",снимаем кандидата............................................,,1,1,,0,,,,12,
283,651,1007,CANCEL,,,0,,"2022-04-06","2022-04-07 11:19:18","клиент принимает решение по старту всей команды, ожидаем решение",,1,1,,0,,,,12,
284,652,1186,CANCEL,,,0,,,"2022-04-07 06:31:06",Заказчик затягивает с ответ по собесу и с датой старта,,1,1,,0,"2022-03-22",,,12,
285,653,699,CANCEL,,,0,,"2022-04-01","2022-04-07 06:31:35",Заказчик затягивает с ответ по собесу и с датой старта,,1,1,,0,"2022-03-23",,,12,
286,654,7769,ASSIGNED,,,1,"2022-04-11",,"2022-04-11 07:31:48",,,1,1,,1,"2022-03-29",,,,
287,655,4914,REJECT,,,0,,"2022-04-11","2022-04-11 21:00:00",реджект по св. ФИД заказчика :Я в заявке сделан акцент на знания брокерских систем. У кандидата отсутствуют такие знания и опыт работы с системами брокера.,,1,1,,0,,,,12,
288,656,7764,CANCEL,,,0,,"2022-04-05","2022-04-12 09:15:07",Demand closed..........................................,,1,1,201,0,,,,12,
289,657,3307,CANCEL,,,0,,"2022-04-06","2022-04-08 10:00:17",отмена кандидата при переносе подтянулись старые данные,,1,1,,0,,,,12,
